timestamp,leader_x,leader_y,leader_velocity,leader_acceleration,leader_curvature,follower_x,follower_y,follower_velocity,follower_acceleration,desired_distance,actual_distance,distance_error,z1,z2,z3,z4,commanded_accel,commanded_velocity,commanded_angular
3487199975.982325,0.108193,0.035409,0.000000,0.000000,0.000000,-0.961306,0.050743,-0.166256,-0.001128,1.208436,1.069609,-0.138827,-0.127784,0.148468,0.164722,-0.022536,0.078110,-0.212858,0.107392
3487199976.022516,0.108375,0.035590,0.000000,0.000000,0.000000,-0.964647,0.051217,-0.170752,-0.193194,1.207312,1.073135,-0.134177,-0.123351,0.146530,0.169205,-0.022934,0.115352,-0.210551,0.106546
3487199976.063894,0.108375,0.035590,0.000000,0.000000,0.000000,-0.966325,0.051445,-0.170265,-0.268471,1.207434,1.074817,-0.132617,-0.121900,0.145533,0.168737,-0.022758,0.120025,-0.208150,0.105955
3487199976.099748,0.108375,0.035590,0.000000,0.000000,0.000000,-0.969700,0.051907,-0.171225,0.076665,1.207194,1.078198,-0.128995,-0.118495,0.143486,0.169718,-0.022666,0.139114,-0.205368,0.104819
3487199976.139714,0.108375,0.035590,0.000000,0.000000,0.000000,-0.973079,0.052372,-0.170384,0.095038,1.207404,1.081583,-0.125821,-0.115530,0.141505,0.168913,-0.022337,0.149199,-0.202384,0.103642
3487199976.179707,0.108375,0.035590,0.000000,0.000000,0.000000,-0.976456,0.052812,-0.170175,0.277671,1.207456,1.084967,-0.122489,-0.112412,0.139502,0.168735,-0.022088,0.162428,-0.199135,0.102473
3487199976.221031,0.108375,0.035590,0.000000,0.000000,0.000000,-0.979822,0.053246,-0.169174,-0.065732,1.207707,1.088340,-0.119366,-0.109497,0.137534,0.167771,-0.021739,0.171645,-0.195702,0.101286
3487199976.260144,0.108375,0.035590,0.000000,0.000000,0.000000,-0.983182,0.053666,-0.167853,0.094512,1.208037,1.091707,-0.116330,-0.106670,0.135565,0.166490,-0.021348,0.179233,-0.192118,0.100078
3487199976.300026,0.108375,0.035590,0.000000,0.000000,0.000000,-0.986517,0.054118,-0.168251,-0.039811,1.207937,1.095049,-0.112889,-0.103421,0.133649,0.166911,-0.021196,0.195267,-0.188212,0.098975
3487199976.340192,0.108375,0.035590,0.000000,0.000000,0.000000,-0.989819,0.054528,-0.166146,0.517242,1.208464,1.098357,-0.110107,-0.100840,0.131739,0.164849,-0.020716,0.198667,-0.184239,0.097759
3487199976.379876,0.108375,0.035590,0.000000,0.000000,0.000000,-0.993086,0.054924,-0.165052,0.006121,1.208737,1.101631,-0.107106,-0.098038,0.129820,0.163791,-0.020367,0.206977,-0.180100,0.096572
3487199976.419955,0.108375,0.035590,0.000000,0.000000,0.000000,-0.996300,0.055318,-0.160668,0.365069,1.209833,1.104851,-0.104982,-0.096091,0.128110,0.159464,-0.019633,0.198569,-0.176128,0.095392
3487199976.459743,0.108375,0.035590,0.000000,0.000000,0.000000,-0.997895,0.055512,-0.159270,0.169941,1.210182,1.106449,-0.103733,-0.094936,0.127201,0.158089,-0.019363,0.198297,-0.172162,0.094792
3487199976.499885,0.108375,0.035590,0.000000,0.000000,0.000000,-1.001041,0.055887,-0.155333,0.332695,1.211167,1.109601,-0.101566,-0.092944,0.125499,0.154203,-0.018698,0.191830,-0.168326,0.093627
3487199976.541945,0.108375,0.035590,0.000000,0.000000,0.000000,-1.004135,0.056250,-0.153769,0.176055,1.211558,1.112701,-0.098857,-0.090410,0.123759,0.152673,-0.018330,0.197005,-0.164386,0.092525
3487199976.580242,0.108375,0.035590,0.000000,0.000000,0.000000,-1.007168,0.056608,-0.151331,0.132359,1.212167,1.115741,-0.096426,-0.088147,0.122094,0.150273,-0.017867,0.197545,-0.160435,0.091434
3487199976.622707,0.108375,0.035590,0.000000,0.000000,0.000000,-1.010150,0.056957,-0.147853,0.184761,1.213037,1.118729,-0.094308,-0.086190,0.120484,0.146839,-0.017290,0.192664,-0.156581,0.090334
3487199976.659662,0.108375,0.035590,0.000000,0.000000,0.000000,-1.013075,0.057293,-0.144742,0.421956,1.213814,1.121660,-0.092155,-0.084191,0.118928,0.143767,-0.016770,0.189358,-0.152794,0.089283
